,level_0,omoid,omonumber,bbl_x,buildingid,boro id,housenumber_x,streetname_x,boro_x,apartment,lifecycle,worktypegeneral,omostatusreason,omoawardamount,omocreatedate,netchangeorders,omoawarddate,isaep,iscommercialdemolition,servicechargeflag,femaeventid,femaevent,omodescription,nta,full_address,Unnamed: 0,bbl_y,bldg#,m,direction,housenumber_y,streetname_y,street_type,zip,index,development,transfer_date,boro_y,units,old_merge,_merge
107,74739,5255594,EM23911,3037240029,809172,3,2155,PITKIN AVENUE,BROOKLYN,2A,Standing Building,GC,No Access,250.25,5/5/22,0,5/9/22,,,TRUE,,,nyc - ''essential hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 2a,East New York,2155 PITKIN AVENUE,510,3037240029,6,M,,2155,PITKIN,AVENUE,11207,549,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
108,75777,5423069,EO25458,3013730043,362393,3,208,ROCHESTER AVENUE,BROOKLYN,2C,Standing Building,GC,Landlord Complied,"2,390",3/12/24,0,3/26/24,,,TRUE,,,all mold remediation work to be done following safe work practice per new york state department of labor law article 32 & nyc-dep local law 61 of 2,Crown Heights (North),208 ROCHESTER AVENUE,1003,3013730043,4,M,,208,ROCHESTER,AVENUE,11213,1042,PARK ROCK REHAB,11/28/23,BROOKLYN,134,both,both
109,76506,5354369,EO03297,1020160060,847381,1,2641,ADAM C POWELL BOULEVARD,MANHATTAN,,Standing Building,GC,Landlord Complied,975,8/4/23,0,11/28/23,,,TRUE,,,nyc hpd emergency opeations division - ''essential service work'' public hall: 1st story install new hopper door to make door self-closing at (1s,Harlem (North),2641 ADAM C POWELL BOULEVARD,584,1020160060,6,M,,2641,ADAM C POWELL,BOULEVARD,10039,620,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
110,77015,5237437,EM18286,3034100033,218791,3,580,CENTRAL AVENUE,BROOKLYN,1C,Standing Building,GC,Condition Different than Stated,250.25,2/24/22,0,4/8/22,,,FALSE,,,nyc hpd emergency operations division essential serivice work at building entrance door ( 1 ) per rc guidelines installation of self-,Bushwick South,580 CENTRAL AVENUE,288,3034100033,1,M,,580,CENTRAL,AVENUE,11207,296,BUSHWICK II (GROUPS A & C),7/18/19,BROOKLYN,300,both,both
111,77426,5342830,EN29877,3043970001,809928,3,300,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,250.25,6/16/23,0,6/20/23,,,FALSE,,,replace or repair defective or broken hinges on the entrance door to the terrace to make the door properly self close securely. entrance door is locat,East New York-New Lots,300 WORTMAN AVENUE,888,3043970001,17,M,,300,WORTMAN,AVENUE,11207,926,LINDEN,12/28/21,BROOKLYN,1586,both,both
112,77556,5275002,EN03224,3033150001,978205,3,160,MENAHAN STREET,BROOKLYN,2G,Standing Building,GC,No Access,250.25,8/4/22,0,8/8/22,,,TRUE,,,nyc hpd emergency operations division - '' essential service work '' install hinges to make door self-closing at the entrance located at apt,Bushwick South,160 MENAHAN STREET,619,3033150001,3,M,,160,MENAHAN,STREET,11221,655,HOPE GARDENS,7/18/19,BROOKLYN,330,both,both
113,77996,5279958,EN05244,3043710001,809922,3,185,WORTMAN AVENUE,BROOKLYN,7F,Standing Building,GC,Landlord Complied,250.25,8/29/22,0,8/30/22,,,TRUE,,,"hpd emergency operations service work'' division make the door self closing at the entrance located at apt 7f, 7th story, 3rd apartment from e",East New York,185 WORTMAN AVENUE,903,3043710001,8,M,,185,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
114,78326,5373363,EO09191,4160020001,955148,4,56-16,BEACH CHANNEL DRIVE,QUEENS,1C,Standing Building,GC,No Access,"1,920",10/4/23,0,10/17/23,,,TRUE,,,nyc hpd emergency operations division   essential service work  install a chase enclosure around exposed gas-piping along the ceiling approxi,Rockaway Beach-Arverne-Edgemere,56-16 BEACH CHANNEL DRIVE,966,4160020001,19,M,,56-16,BEACH CHANNEL,DRIVE,11692,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
115,78567,5293528,EN10579,3043710001,809926,3,245,WORTMAN AVENUE,BROOKLYN,13D,Standing Building,DELEAD,OMO Completed,24,11/1/22,0,11/1/22,,,FALSE,,,perform total lead analysis of 03 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt,East New York,245 WORTMAN AVENUE,897,3043710001,5,M,,245,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
116,79201,5321350,EN20418,1020370001,4186,1,2850,FREDERICK DOUGLASS BOULEVARD,MANHATTAN,,Standing Building,GC,Owner Refused Access,"2,580",2/22/23,0,3/2/23,,,TRUE,,,"nyc hpd emergency operations division - ''essential service work'' at building front entrance left door when entering building , 1st story: make al",Central Harlem North-Polo Grounds,2850 FREDERICK DOUGLASS BOULEVARD,601,1020370001,8,M,,2850,FREDERICK DOUGLASS,BOULEVARD,10039,640,HARLEM RIVER II ,2/17/22,MANHATTAN,116,both,both
117,79389,5280330,EN05383,3017980077,994825,3,315,LEXINGTON AVENUE,BROOKLYN,2B,Standing Building,GC,No Access,250.25,8/31/22,0,8/31/22,,,TRUE,,,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 2b, 2nd story, 1",Bedford,315 LEXINGTON AVENUE,942,3017980077,3,M,,315,LEXINGTON,AVENUE,11216,972,MARCY AVENUE-GREENE AVENUE SITE B,2/12/20,BROOKLYN,30,both,both
118,79683,5343491,EN30146,3043710001,809922,3,185,WORTMAN AVENUE,BROOKLYN,8D,Standing Building,GC,No Access,"2,895",6/21/23,0,6/23/23,,,TRUE,,,"at apt # 8d at bathroom >>>>>> trace, locate and properly repair the sources of concealed water leak(s) at ceiling and walls . the probable sourc",East New York-New Lots,185 WORTMAN AVENUE,903,3043710001,8,M,,185,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
119,80003,5344704,EN30818,3039930001,809175,3,2219,PITKIN AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,750,6/28/23,0,6/29/23,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at public hall fire door, 2nd story east , install hinges, lock and make",East New York (North),2219 PITKIN AVENUE,509,3039930001,13,M,,2219,PITKIN,AVENUE,11207,545,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
120,80236,5342687,EN29801,1019880020,40685,1,515,WEST 134 STREET,MANHATTAN,,Standing Building,GC,Landlord Complied,"2,190",6/16/23,0,6/22/23,,,TRUE,,,nyc hpd emergency operations division   essential service work  make all necessary repairs to replace broken/defective door and jamb with new pr,Manhattanville-West Harlem,515 WEST 134 STREET,918,1019880020,1,M,WEST,515,134,STREET,10031,957,MANHATTANVILLE REHAB (GROUP 2),11/30/20,MANHATTAN,46,both,both
121,80667,5342553,EN29704,3043770001,809930,3,361,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,"1,640",6/15/23,0,6/23/23,,,FALSE,,,"make all necessary repairs to replace broken/defective hopper door with a new hopper door and ensure proper finishing. located at on the east wall, a",East New York-New Lots,361 WORTMAN AVENUE,271,3043770001,16,M,,361,WORTMAN,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
122,81400,5246888,EM21130,3018030027,325052,3,310,LEXINGTON AVENUE,BROOKLYN,,Standing Building,GC,No Access,250.25,3/31/22,0,3/31/22,,,TRUE,,,nyc hpd emergency operations division - ''essential service work'' 310 lexington avenue 4th str (total 1 door) at 4th str fire stairs door. mak,Bedford,310 LEXINGTON AVENUE,53,3018030027,6,M,,310,LEXINGTON,AVENUE,11216,57,ARMSTRONG I,2/12/20,BROOKLYN,371,both,both
123,81684,5371560,EO08695,3034030001,290845,3,595,EVERGREEN AVENUE,BROOKLYN,2D,Standing Building,GC,OMO Completed,135,9/28/23,0,3/19/24,,,FALSE,,,"at apt #2d as per requirement contract with hpd, provide and install new window guards as required throughout entire apartment. install total of",Bushwick (East),595 EVERGREEN AVENUE,306,3034030001,3,M,,595,EVERGREEN,AVENUE,11207,314,BUSHWICK II (GROUPS A & C),7/18/19,BROOKLYN,300,both,both
124,81692,5322549,EN20858,3043770001,809354,3,881,SCHENCK AVENUE,BROOKLYN,,Standing Building,GC,Landlord Complied,250.25,2/28/23,0,3/8/23,,,TRUE,,,install hinges to make door self-closing at (ph 6th story). total doors= (1) contractor must contact hpd @ 212 863-5496; 5976; 6046; 6132; 6135; 61,East New York-New Lots,881 SCHENCK AVENUE,260,3043770001,12,M,,881,SCHENCK,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
125,81921,5323812,EN21468,1020370011,847376,1,221,WEST 152 STREET,MANHATTAN,,Standing Building,GC,Owner Refused Access,"1,180",3/7/23,0,3/24/23,,,TRUE,,,nyc hpd emergency operations division   essential service work  make all necessary repairs to replace defective door and jamb with new properly,Harlem (North),221 WEST 152 STREET,533,1020370011,1,M,WEST,221,152,STREET,10039,570,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
126,83161,5425756,EO26259,2049050001,806645,2,1165,EAST 229 STREET,BRONX,,Standing Building,GC,No Access,"2,848",3/20/24,0,4/22/24,,,TRUE,,,"1- make all necessary repairs to replace the deffective door (staircase b at 13th story public hall at public hall, 13th story). 2-replace door hi",Eastchester-Edenwald-Baychester,1165 EAST 229 STREET,424,2049050001,17,M,EAST,1165,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
127,83316,5426468,EO26510,3035500011,380707,3,187,TAPSCOTT STREET,BROOKLYN,,Standing Building,GC,OMO Completed,640,3/21/24,0,3/25/24,,,FALSE,,,"nyc hpd emergency operations division   essential service work  at building entrance, 1st story install heave duty door closer, make all nec",East Flatbush-Remsen Village,187 TAPSCOTT STREET,1173,3035500011,6,M,,187,TAPSCOTT,STREET,11212,1212,TAPSCOTT STREET REHAB,11/28/23,BROOKLYN,155,both,both
128,83335,5343452,EN30107,3043710001,809922,3,185,WORTMAN AVENUE,BROOKLYN,8D,Standing Building,DELEAD,OMO Completed,"2,000",6/21/23,0,6/29/23,,,FALSE,,,as per hpds lead abatement requirement contracts and attached scope of work thoroughly remove all lead violations as per new york city administrative,East New York-New Lots,185 WORTMAN AVENUE,903,3043710001,8,M,,185,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
129,83600,5265508,EM27159,1019870017,805942,1,514,WEST 134 STREET,MANHATTAN,3A,Standing Building,GC,OMO Completed,577,6/23/22,0,6/24/22,,,FALSE,,,"nyc hpd emergency operations division - ''essential service work'' at 4th room from north in apt (3a), 3rd story, 1st apt from east at south,",Manhattanville,514 WEST 134 STREET,922,1019870017,2,M,WEST,514,134,STREET,10031,960,MANHATTANVILLE REHAB (GROUP 3),11/30/20,MANHATTAN,51,both,both
130,83824,5343429,EN30085,1020370011,847376,1,221,WEST 152 STREET,MANHATTAN,,Standing Building,GC,Owner Refused Access,"2,900",6/21/23,0,7/10/23,,,TRUE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",Harlem (North),221 WEST 152 STREET,533,1020370011,1,M,WEST,221,152,STREET,10039,570,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
131,84291,5374919,EO09817,3043550001,808715,3,2202,LINDEN BOULEVARD,BROOKLYN,,Standing Building,GC,Landlord Complied,250,10/11/23,0,10/13/23,,,TRUE,,,install hinges to make door self-closing at (fire door at 11th srory public hall at west wall ). total doors= (1) contractor must contact hpd @,East New York-New Lots,2202 LINDEN BOULEVARD,281,3043550001,6,M,,2202,LINDEN,BOULEVARD,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
132,85029,5366812,EO07240,2022690100,806340,2,400,BROOK AVENUE,BRONX,15H,Standing Building,GC,Duplicate OMO,295,9/14/23,0,10/11/23,,,FALSE,,,"install hinges to make door self-closing and latch at apartment 15h entrance door, 15th story total doors= (1) contractor must contact hpd @ 212 8",Mott Haven-Port Morris,400 BROOK AVENUE,155,2022690100,1,M,,400,BROOK,AVENUE,10454,163,BETANCES I,11/16/18,BRONX,309,both,both
133,85371,5310191,EN16135,3043930001,808023,3,215,COZINE AVENUE,BROOKLYN,8F,Standing Building,GC,OMO Completed,240,1/9/23,0,3/16/23,,,FALSE,,,"as per the requirement contract with hpd, provide and install window guard and repair window guards throughout entire apartment 8f. repair total of",East New York,215 COZINE AVENUE,884,3043930001,14,M,,215,COZINE,AVENUE,11207,918,LINDEN,12/28/21,BROOKLYN,1586,both,both
134,85951,5297726,EN12102,1019880020,40685,1,515,WEST 134 STREET,MANHATTAN,4D,Standing Building,GC,No Access,333.87,11/18/22,0,11/21/22,,,TRUE,,,hpd emergency operations service work'' division install hinges to make door self-closing at secondary egress door at west wall in the 3r,Manhattanville,515 WEST 134 STREET,918,1019880020,1,M,WEST,515,134,STREET,10031,957,MANHATTANVILLE REHAB (GROUP 2),11/30/20,MANHATTAN,46,both,both
135,86180,5322552,EN20861,3043690001,809165,3,875,PENNSYLVANIA AVENUE,BROOKLYN,16C,Standing Building,GC,OMO Completed,250.25,2/28/23,0,3/9/23,,,TRUE,,,install hinges to make door self-closing at (apt 16c). total doors= 1 contractor must contact hpd @ 212 863-5496; 5976; 6046; 6132; 6135; 6160;6191,East New York-New Lots,875 PENNSYLVANIA AVENUE,1010,3043690001,1,M,,875,PENNSYLVANIA,AVENUE,11207,1049,PENNSYLVANIA AVENUE-WORTMAN AVENUE,12/28/21,BROOKLYN,336,both,both
136,86496,5374923,EO09821,3043550001,808715,3,2202,LINDEN BOULEVARD,BROOKLYN,,Standing Building,GC,Owner Refused Access,"1,999",10/11/23,0,10/19/23,,,TRUE,,,replace the deffective door and frame complete with self closing hinges and all standard hardware make all necessary restoration to the affected fins,East New York-New Lots,2202 LINDEN BOULEVARD,281,3043550001,6,M,,2202,LINDEN,BOULEVARD,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
137,86544,5346793,EO00708,3043710001,809922,3,185,WORTMAN AVENUE,BROOKLYN,8D,Standing Building,DELEAD,OMO Completed,24,7/8/23,0,7/10/23,,,FALSE,,,perform total lead analysis of 03 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt,East New York-New Lots,185 WORTMAN AVENUE,903,3043710001,8,M,,185,WORTMAN,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
138,87355,5292424,EN10199,1017710010,20371,1,115,EAST 122 STREET,MANHATTAN,2F,Standing Building,GC,Owner Refused Access,"2,000",10/27/22,0,11/1/22,,,TRUE,,,hpd emergency operations service work'' division make all necessary repairs to replace broken/defective door and jam with new properly fire r,East Harlem North,115 EAST 122 STREET,996,1017710010,2,M,EAST,115,122,STREET,10035,1035,"PARK AVENUE-EAST 112ND, 123RD STREETS",11/30/20,MANHATTAN,90,both,both
139,87472,5430150,EO27522,3037250001,808855,3,320,MILLER AVENUE,BROOKLYN,4B,Standing Building,GC,Owner Refused Access,"12,448",4/3/24,0,4/16/24,,,TRUE,,,"at apt # 4b: work location(s): room nw4, rm-n2, rm-n3 & kitchen: trace, locate and properly repair the source of roof leaks causing excessive dama",East New York (North),320 MILLER AVENUE,505,3037250001,10,M,,320,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
140,87494,5294135,EN10709,3043770001,809554,3,726,STANLEY AVENUE,BROOKLYN,1D,Standing Building,GC,Owner Refused Access,"2,000",11/3/22,0,11/9/22,,,TRUE,,,hpd emergency operations service work'' division replace broken/defective door and jamb with new properly fire rated door and jamb s,East New York,726 STANLEY AVENUE,263,3043770001,13,,,726,STANLEY,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
141,87560,5374872,EO09794,3037250001,808856,3,330,MILLER AVENUE,BROOKLYN,4B,Standing Building,GC,No Access,295,10/11/23,0,10/13/23,,,TRUE,,,"install hinges to make door self-closing at (entrance located at apt 4b, 4th story, 1st apartment from east at south). total doors= (1) contra",East New York (North),330 MILLER AVENUE,516,3037250001,9,,,330,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
142,87764,5237428,EM18277,3021400026,809307,3,325,ROEBLING STREET,BROOKLYN,,Standing Building,GC,Landlord Complied,250.25,2/24/22,0,4/8/22,,,TRUE,,,nyc hpd emergency operation division essential service work at building entrance door ( 1 ) per rc guidelines installation of self-clo,North Side-South Side,325 ROEBLING STREET,1282,3021400026,1,M,,325,ROEBLING,STREET,11211,1325,WILLIAMS PLAZA,2/12/20,BROOKLYN,577,both,both
143,87804,5324677,EN21875,3043770001,809929,3,357,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,Owner Refused Access,830,3/9/23,0,3/14/23,,,TRUE,,,"nyc hpd emergency operations division - '' essential service work '' at building front entrance , at public hall 1st story replace all door hin",East New York,357 WORTMAN AVENUE,266,3043770001,14,M,,357,WORTMAN,AVENUE,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
144,88046,5357465,EO04270,1020160060,847381,1,2641,ADAM C POWELL BOULEVARD,MANHATTAN,,Standing Building,GC,No Access,"1,275",8/15/23,0,10/19/23,,,TRUE,,,"nyc hpd emergency operations division - ''essential service work'' public hall: hopper door, east wall at 1st story replace the defective hooper",Harlem (North),2641 ADAM C POWELL BOULEVARD,584,1020160060,6,M,,2641,ADAM C POWELL,BOULEVARD,10039,620,HARLEM RIVER,2/17/22,MANHATTAN,577,both,both
145,88571,5326897,EN22734,3043930001,809927,3,250,WORTMAN AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,"1,340",3/21/23,0,4/15/23,,,FALSE,,,make all necessary repairs to make hopper door self-closing. also to include new lock at 1st story. total doors= (1) contractor must contact hpd @,East New York-New Lots,250 WORTMAN AVENUE,881,3043930001,12,M,,250,WORTMAN,AVENUE,11207,918,LINDEN,12/28/21,BROOKLYN,1586,both,both
146,89428,5374952,EO09838,4160020001,955148,4,56-16,BEACH CHANNEL DRIVE,QUEENS,1C,Standing Building,GC,OMO Completed,"1,499",10/11/23,0,10/16/23,,,FALSE,,,nyc hpd emergency operations division  essential service work  apt 1c--at kitchen: repair the defective/leaky drain line and water supply hose,Rockaway Beach-Arverne-Edgemere,56-16 BEACH CHANNEL DRIVE,966,4160020001,19,M,,56-16,BEACH CHANNEL,DRIVE,11692,995,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
147,90717,5374891,EO09799,3037250001,808856,3,330,MILLER AVENUE,BROOKLYN,,Standing Building,GC,Owner Refused Access,"5,000",10/11/23,0,10/18/23,,,TRUE,,,"1-make all necessary repairs to replace missing door with new properly fire rated door and similar to existing, complete with self-closing hinges, all",East New York (North),330 MILLER AVENUE,516,3037250001,9,,,330,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
148,92076,5348459,EO01432,1009330025,603,1,344,EAST 28 STREET,MANHATTAN,23D,Standing Building,GC,Owner Refused Access,"2,100",7/17/23,0,7/25/23,,,TRUE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",Murray Hill-Kips Bay,344 EAST 28 STREET,3,1009330025,1,,EAST,344,28,STREET,10016,7,344 EAST 28TH STREET,11/30/20,MANHATTAN,225,both,both
149,92077,5348459,EO01432,1009330025,603,1,344,EAST 28 STREET,MANHATTAN,23D,Standing Building,GC,Owner Refused Access,"2,100",7/17/23,0,7/25/23,,,TRUE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",Murray Hill-Kips Bay,344 EAST 28 STREET,5,1009330025,1,M,EAST,344,28,STREET,10016,7,344 EAST 28TH STREET,11/30/20,MANHATTAN,225,both,both
150,92275,5428740,EO27185,3013790008,376440,3,1448,STERLING PLACE,BROOKLYN,,Standing Building,GC,Condition Different than Stated,"1,495",3/28/24,0,4/3/24,,,TRUE,,,at public parts : ** 1st story public hallway ** remove all loose material from damaged areas before repairs. provide restoration to the ceiling a,Crown Heights (North),1448 STERLING PLACE,1146,3013790008,1,M,,1448,STERLING,PLACE,11213,1185,STERLING PLACE REHABS (STERLING-BUFFALO),11/28/23,BROOKLYN,125,both,both
151,92579,5281718,EN06023,3043970001,398078,3,270,WORTMAN AVENUE,BROOKLYN,6B,Standing Building,GC,OMO Completed,250.25,9/8/22,0,9/13/22,,,FALSE,,,"hpd emergency operations service work'' division install hinges to make door self-closing at the entrance located at apt 6b, 6th story, 2",East New York,270 WORTMAN AVENUE,887,3043970001,16,M,,270,WORTMAN,AVENUE,11207,926,LINDEN,12/28/21,BROOKLYN,1586,both,both
152,92700,5326598,EN22603,1019870017,805936,1,529,WEST 133 STREET,MANHATTAN,,Standing Building,GC,No Access,"2,100",3/20/23,0,3/22/23,,,TRUE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",Manhattanville-West Harlem,529 WEST 133 STREET,921,1019870017,1,M,WEST,529,133,STREET,10027,960,MANHATTANVILLE REHAB (GROUP 3),11/30/20,MANHATTAN,51,both,both
153,92841,5375732,EO10119,1012210007,805761,1,133,WEST 90 STREET,MANHATTAN,1A,Standing Building,GC,OMO Completed,333.87,10/12/23,0,10/19/23,,,FALSE,,,"at entrance door at apt 1a, 2nd story, 1st apartment from east at south remove two defective door hinges and install two new hinges to make door se",Upper West Side (Central),133 WEST 90 STREET,1480,1012210007,2,M,WEST,133,90,STREET,10024,1520,WISE TOWERS,11/30/20,MANHATTAN,399,both,both
154,92899,5430188,EO27526,3043550001,807569,3,830,ASHFORD STREET,BROOKLYN,4B,Standing Building,GC,No Access,"2,877",4/3/24,0,4/12/24,,,TRUE,,,"apt# 4b: work location: room nw1: trace, locate and properly repair the source of concealed water leaks causing excessive damage to ceiling an",East New York-New Lots,830 ASHFORD STREET,282,3043550001,7,M,,830,ASHFORD,STREET,11207,260,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
155,92989,5400024,EO17815,4160010002,811246,4,410,BEACH 54 STREET,QUEENS,,Standing Building,GC,OMO Completed,530,12/27/23,0,1/17/24,,,FALSE,,,"nyc hpd emergency operations division   essential service work  hopper door at west wall at public hall, 2nd story make all necessary repair",Rockaway Beach-Arverne-Edgemere,410 BEACH 54 STREET,961,4160010002,14,M,,410,BEACH 54,STREET,11692,996,OCEAN BAY (BAYSIDE),12/31/16,QUEENS,1395,both,both
156,93115,5333365,EN25603,1021160033,5727,1,1970,AMSTERDAM AVENUE,MANHATTAN,,Standing Building,GC,OMO Completed,333.87,4/26/23,0,5/2/23,,,FALSE,,,"nyc hpd emergency operations division  essential service work at fire door to south section at public hall, 13th story: install new hinges",Washington Heights (South),1970 AMSTERDAM AVENUE,945,1021160033,1,M,,1970,AMSTERDAM,AVENUE,10032,984,MARSHALL PLAZA,1/10/23,MANHATTAN,180,both,both
157,93295,5347208,EO00826,3043770001,807570,3,908,ASHFORD STREET,BROOKLYN,3B,Standing Building,DELEAD,OMO Completed,"1,491.75",7/11/23,0,7/14/23,,,FALSE,,,"(doh  clean only)(apt#3b ) doh clean violation: as per attached scope of work, thoroughly remove all lead violations as per new york city health ord",East New York-New Lots,908 ASHFORD STREET,274,3043770001,18,M,,908,ASHFORD,STREET,11207,266,BOULEVARD,12/28/21,BROOKLYN,1441,both,both
158,93343,5398088,EO17112,3037250001,808856,3,330,MILLER AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,"2,000",12/19/23,0,1/12/24,,,FALSE,,,"make all necessary repairs to replace broken/defective door and jamb with new properly fire rated door and jamb similar to existing, complete with sel",East New York (North),330 MILLER AVENUE,516,3037250001,9,,,330,MILLER,AVENUE,11207,544,FIORENTINO PLAZA,12/28/21,BROOKLYN,160,both,both
159,93385,5292774,EN10412,3033250001,992090,3,239,LINDEN STREET,BROOKLYN,CMN,Standing Building,DELEAD,OMO Completed,903.5,10/28/22,0,11/2/22,,,FALSE,,,"(doh - clean only)(apt#cmn) doh clean violation: as per attached scope of work, thoroughly remove all lead violations as per new york city health ord",Bushwick North,239 LINDEN STREET,356,3033250001,3,M,,239,LINDEN,STREET,11221,355,BUSHWICK II CDA (GROUP E),7/18/19,BROOKLYN,276,both,both
160,93530,5295130,EN11020,3033250001,992090,3,239,LINDEN STREET,BROOKLYN,CMN,Standing Building,DELEAD,OMO Completed,40,11/7/22,0,11/9/22,,,FALSE,,,perform total lead analysis of 05 dust wipe sample(s) via environmental protection agency (epa) sw8463050b-7000b method utilizing flame atomic absorpt,Bushwick North,239 LINDEN STREET,356,3033250001,3,M,,239,LINDEN,STREET,11221,355,BUSHWICK II CDA (GROUP E),7/18/19,BROOKLYN,276,both,both
161,94813,5347762,EO01098,3030240001,809675,3,90,TEN EYCK WALK,BROOKLYN,2D,Standing Building,GC,Owner Refused Access,700,7/13/23,0,7/17/23,,,TRUE,,,"nyc hpd emergency operations division  essential service work  at apt 2d properly install hinges, make all necessary adjustment/tensioning to s",East Williamsburg,90 TEN EYCK WALK,1407,3030240001,3,M,,90,TEN EYCK,WALK,11206,1340,WILLIAMSBURG,12/28/21,BROOKLYN,1621,both,both
162,94837,5440557,EO30989,2049050001,806646,2,1175,EAST 229 STREET,BRONX,1C,Standing Building,GC,No Access,"4,500",5/2/24,0,6/4/24,,,TRUE,,,all mold remediation work to be done following safe work practice per new york state department of labor law article 32 & nyc-dep local law 61 of 20,Eastchester-Edenwald-Baychester,1175 EAST 229 STREET,425,2049050001,18,M,EAST,1175,229,STREET,10466,446,EDENWALD,6/27/23,BRONX,2039,both,both
163,95581,5348337,EO01343,3043710001,809549,3,570,STANLEY AVENUE,BROOKLYN,,Standing Building,GC,OMO Completed,250.25,7/15/23,0,7/17/23,,,FALSE,,,nyc hpd emergency operations division   essential service work  replace or adjust hinges on the the fire door located on the 8th story stairway,East New York-New Lots,570 STANLEY AVENUE,878,3043710001,1,M,,570,STANLEY,AVENUE,11207,917,LINDEN,12/28/21,BROOKLYN,1586,both,both
164,95582,5348341,EO01347,3043930001,808022,3,195,COZINE AVENUE,BROOKLYN,,Standing Building,GC,Condition Different than Stated,250.25,7/15/23,0,7/17/23,,,TRUE,,,nyc hpd emergency operations division   essential service work  replace or adjust hinges on the 2nd story fire door to the stairway and make al,East New York-New Lots,195 COZINE AVENUE,886,3043930001,15,M,,195,COZINE,AVENUE,11207,918,LINDEN,12/28/21,BROOKLYN,1586,both,both
165,96575,5295720,EN11296,1020090003,3585,1,2403,ADAM C POWELL BOULEVARD,MANHATTAN,,Standing Building,PLUMB,Landlord Complied,"1,990",11/10/22,0,11/17/22,,,TRUE,,,"nyc hpd emergency operations division - '' essential service work '' at public hall, 3rd story replace with new the broken or defective broken baseb",Central Harlem North-Polo Grounds,2403 ADAM C POWELL BOULEVARD,1099,1020090003,40,M,,2403,ADAM C POWELL,BOULEVARD,10030,1138,SAMUEL (MHOP) I,11/30/20,MANHATTAN,53,both,both
166,97671,5351454,EO02385,1021320114,43315,1,511,WEST 177 STREET,MANHATTAN,3E,Standing Building,GC,No Access,"1,300",7/27/23,0,7/28/23,,,TRUE,,,number of units (apts): 33 location: apt. #3e; bathroom. properly repair the broken or defective plastered surface at ceiling and all walls .,Washington Heights (South),511 WEST 177 STREET,1225,1021320114,3,M,WEST,511,177,STREET,10033,1270,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),11/30/20,MANHATTAN,216,both,both
