,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open
62,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150987,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,508.0,8593528.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE BATHROOM LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
63,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16167768,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-08-17,2023-08-18,09/21/2023,09/16/2023,,,,569.0,8605707.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-08-21,20.0,DEFECT LETTER ISSUED,2025-09-29,Original,Open,N,2023,2023.0,2025-10-06,777.0
78,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150989,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,508.0,8593528.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT WEST WALL IN THE 2nd ROOM FROM EAST LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
79,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150990,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,508.0,8593528.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
86,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678603,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,529.0,8947290.0,"§ 27-2005 HMC: REFIT ENTRANCE DOOR IN THE 3rd ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0
87,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678605,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-02-16,2024-02-16,04/09/2024,03/26/2024,,,,501.0,8947290.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE DOOR HANDLE IN THE ENTRANCE LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0
88,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150992,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,501.0,8593528.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE SPRING BALANCE AT LOWER WINDOW SASH AT NORTH WALL IN THE 1st ROOM FROM EAST LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
89,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150993,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-08-09,2023-08-09,09/10/2023,09/05/2023,,,,568.0,8593530.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
90,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150995,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,501.0,8593528.0,"§ 27-2005 HMC: PROPERLY REPAIR OR REPLACE THE BROKEN OR DEFECTIVE SPRING BALANCE AT LOWER SASH WINDOW AT SOUTH WALL IN THE KITCHEN LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
96,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150991,603,144838.0,1,344,334,350,EAST 28 STREET,A,2023-08-09,2023-08-09,11/27/2023,11/13/2023,,,,579.0,8593527.0,"§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT SINK IN THE KITCHEN LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
97,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16150988,603,144838.0,1,344,334,350,EAST 28 STREET,B,2023-08-09,2023-08-09,09/28/2023,09/14/2023,,,,508.0,8593528.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT SOUTH AND EAST WALLS IN THE BATHROOM LOCATED AT APT 13F, 13th STORY, 2nd APARTMENT FROM WEST AT NORTH",2023-08-10,11.0,VIOLATION WILL BE REINSPECTED,2025-09-30,Original,Open,N,2023,2023.0,2025-10-06,788.0
98,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16151546,603,144838.0,1,344,334,350,EAST 28 STREET,C,2023-08-09,2023-08-09,09/10/2023,09/05/2023,,,,569.0,8593529.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 8ATHEY, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2023-08-10,20.0,DEFECT LETTER ISSUED,2025-09-29,Original,Open,N,2023,2023.0,2025-10-06,788.0
104,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678601,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-02-16,2024-02-16,03/04/2024,02/26/2024,,,,596.0,8947291.0,"§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE WATER CLOSET IN THE BATHROOM LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,Y,2024,2024.0,2025-10-06,587.0
107,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17078529,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-06-28,2024-06-28,08/19/2024,08/05/2024,,,,508.0,9224819.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE NORTH WALL IN THE 6th ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-01,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,455.0
108,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17078530,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-06-28,2024-06-28,08/19/2024,08/05/2024,,,,506.0,9224819.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING ENTRANCE DOOR IN THE 3rd ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-01,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,455.0
112,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17078528,603,144838.0,1,344,334,350,EAST 28 STREET,B,2024-06-28,2024-06-28,08/19/2024,08/05/2024,,,,506.0,9224819.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING ENTRANCE DOOR IN THE 1st ROOM FROM NORTH LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-01,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,455.0
115,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,16678604,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-02-16,2024-02-16,03/10/2024,03/05/2024,,,,530.0,8947292.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-02-20,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,587.0
118,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,14680733,603,144838.0,1,344,334,350,EAST 28 STREET,B,2021-11-17,2021-11-17,01/06/2022,12/23/2021,,,,502.0,7549405.0,"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AT PUBLIC HALL, 1st STORY",2021-11-18,19.0,VIOLATION CLOSED,2024-05-17,Original,Close,N,2021,2021.0,2025-10-06,911.0
120,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,14711062,603,144838.0,1,344,334,350,EAST 28 STREET,C,2021-12-06,2021-12-06,12/20/2021,12/13/2021,,,,672.0,7568716.0,"§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT PUBLIC HALL, 1st STORY",2021-12-07,19.0,VIOLATION CLOSED,2023-03-22,Original,Close,N,2021,2021.0,2025-10-06,470.0
122,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,14750750,603,144838.0,1,344,334,350,EAST 28 STREET,C,2021-12-28,2021-12-28,01/11/2022,01/04/2022,,,,672.0,7592044.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BOILER ROOM DOOR LOCKED. AT BOILER ROOM,2021-12-29,19.0,VIOLATION CLOSED,2023-03-22,Original,Close,N,2021,2021.0,2025-10-06,448.0
131,344 EAST 28TH STREET,MANHATTAN,225,11/30/20,344GAR EAST 28 STREET,344.0,EAST 28 STREET,344 EAST 28 STREET,17078531,603,144838.0,1,344,334,350,EAST 28 STREET,C,2024-06-28,2024-06-28,07/20/2024,07/15/2024,,,,530.0,9224820.0,"§ 27-2005, 27-2007, 27-2041.1 HMC, §238, § 309; § 107 (2) ( C) MDL AND 28 RCNY §25-171: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE HINGES IN THE ENTRANCE LOCATED AT APT 8A, 8th STORY, 1st APARTMENT FROM EAST AT SOUTH",2024-07-01,19.0,VIOLATION CLOSED,2025-09-29,Original,Close,N,2024,2024.0,2025-10-06,455.0
137,ARMSTRONG I,BROOKLYN,371,2/12/20,362 CLIFTON PLACE,362.0,CLIFTON PLACE,362 CLIFTON PLACE,14481176,222683,821645.0,3,362,362,362,CLIFTON PLACE,B,2021-08-03,2021-08-05,09/24/2021,09/10/2021,,,,808.0,7432726.0,"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR AT CEILING IN THE BATHROOM LOCATED AT APT 362B UPPER LEVEL, 2nd STORY",2021-08-06,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2023-12-14,Original,Open,N,2021,2021.0,2025-10-06,1522.0
138,ARMSTRONG I,BROOKLYN,371,2/12/20,362 CLIFTON PLACE,362.0,CLIFTON PLACE,362 CLIFTON PLACE,14481184,222683,821645.0,3,362,362,362,CLIFTON PLACE,B,2021-08-03,2021-08-05,09/24/2021,09/10/2021,,,,808.0,7432726.0,"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR CEILING AT PRIVATE STAIRS LOCATED AT APT 362B, 2nd STORY",2021-08-06,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2023-12-14,Original,Open,N,2021,2021.0,2025-10-06,1522.0
139,ARMSTRONG I,BROOKLYN,371,2/12/20,362 CLIFTON PLACE,362.0,CLIFTON PLACE,362 CLIFTON PLACE,14481179,222683,821645.0,3,362,362,362,CLIFTON PLACE,B,2021-08-03,2021-08-05,09/24/2021,09/10/2021,,,,808.0,7432726.0,"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR AT CEILING IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 362B UPPER LEVEL, 2nd STORY",2021-08-06,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2023-12-14,Original,Open,N,2021,2021.0,2025-10-06,1522.0
140,ARMSTRONG I,BROOKLYN,371,2/12/20,362 CLIFTON PLACE,362.0,CLIFTON PLACE,362 CLIFTON PLACE,14481160,222683,821645.0,3,362,362,362,CLIFTON PLACE,B,2021-08-03,2021-08-05,09/24/2021,09/10/2021,,,,868.0,7432726.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 362B, 2nd STORY",2021-08-06,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2023-12-14,Original,Open,N,2021,2021.0,2025-10-06,1522.0
145,ARMSTRONG I,BROOKLYN,371,2/12/20,362 CLIFTON PLACE,362.0,CLIFTON PLACE,362 CLIFTON PLACE,14481170,222683,821645.0,3,362,362,362,CLIFTON PLACE,B,2021-08-03,2021-08-05,09/24/2021,09/10/2021,,,,802.0,7432726.0,"§ 27-2005 ADMIN. CODE: PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE 3rd ROOM FROM NORTH LOCATED AT APT 362B, 2nd STORY",2021-08-06,22.0,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2023-12-14,Original,Open,N,2021,2021.0,2025-10-06,1522.0
151,ARMSTRONG I,BROOKLYN,371,2/12/20,360 CLIFTON PLACE,360.0,CLIFTON PLACE,360 CLIFTON PLACE,14803174,222681,821644.0,3,360,360,360,CLIFTON PLACE,B,2022-02-01,2022-02-01,03/23/2022,03/09/2022,,,,869.0,7626109.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT A, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-02-02,19.0,VIOLATION CLOSED,2023-12-15,Original,Close,N,2022,2022.0,2025-10-06,681.0
152,ARMSTRONG I,BROOKLYN,371,2/12/20,360 CLIFTON PLACE,360.0,CLIFTON PLACE,360 CLIFTON PLACE,14803178,222681,821644.0,3,360,360,360,CLIFTON PLACE,B,2022-02-01,2022-02-01,03/23/2022,03/09/2022,,,,802.0,7626109.0,"§ 27-2005 ADMIN. CODE: PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE 3rd ROOM FROM NORTH AT EAST LOCATED AT APT A, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-02-02,19.0,VIOLATION CLOSED,2023-12-15,Original,Close,N,2022,2022.0,2025-10-06,681.0
153,ARMSTRONG I,BROOKLYN,371,2/12/20,360 CLIFTON PLACE,360.0,CLIFTON PLACE,360 CLIFTON PLACE,14803173,222681,821644.0,3,360,360,360,CLIFTON PLACE,B,2022-02-01,2022-02-01,03/23/2022,03/09/2022,,,,802.0,7626109.0,"§ 27-2005 ADMIN. CODE: PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES IN THE KITCHEN LOCATED AT APT A, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-02-02,19.0,VIOLATION CLOSED,2023-12-15,Original,Close,N,2022,2022.0,2025-10-06,681.0
154,ARMSTRONG I,BROOKLYN,371,2/12/20,360 CLIFTON PLACE,360.0,CLIFTON PLACE,360 CLIFTON PLACE,14803181,222681,821644.0,3,360,360,360,CLIFTON PLACE,B,2022-02-01,2022-02-01,03/23/2022,03/09/2022,,,,808.0,7626109.0,"§ 27-2005 ADMIN. CODE: REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN UNIFORM COLOR AT CEILING IN THE 3rd PRIVATE HALLWAY FROM NORTH AT EAST LOCATED AT APT A, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-02-02,19.0,VIOLATION CLOSED,2023-12-15,Original,Close,N,2022,2022.0,2025-10-06,681.0
158,ARMSTRONG I,BROOKLYN,371,2/12/20,360 CLIFTON PLACE,360.0,CLIFTON PLACE,360 CLIFTON PLACE,14803175,222681,821644.0,3,360,360,360,CLIFTON PLACE,B,2022-02-01,2022-02-01,03/23/2022,03/09/2022,,,,883.0,7626109.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE PRIVATE HALLWAY LOCATED AT APT A, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",2022-02-02,19.0,VIOLATION CLOSED,2023-12-15,Original,Close,N,2022,2022.0,2025-10-06,681.0
